mbti,character,movie_name,release_year,genre,revenue,score,metascore
ESTJ,Abuelita Elena,Coco,2017.0,"Drama, Musical",,5.3,54.0
ESTJ,Mamá Imelda,Coco,2017.0,"Drama, Musical",,5.3,54.0
ENTP,Héctor,Coco,2017.0,"Drama, Musical",,5.3,54.0
ISTP,Chicharrón,Coco,2017.0,"Drama, Musical",,5.3,54.0
ISTP,Papá Julio,Coco,2017.0,"Drama, Musical",,5.3,54.0
ISTJ,Pepita,Coco,2017.0,"Drama, Musical",,5.3,54.0
ESFP,Jenny,Forrest Gump,1994.0,"Drama, Romance",330252182.0,8.8,82.0
ESTJ,Lieutenant Dan,Forrest Gump,1994.0,"Drama, Romance",330252182.0,8.8,82.0
ENFP,Bubba Blue,Forrest Gump,1994.0,"Drama, Romance",330252182.0,8.8,82.0
ENFJ,Mrs. Gump,Forrest Gump,1994.0,"Drama, Romance",330252182.0,8.8,82.0
ISFJ,Forrest Gump,Forrest Gump,1994.0,"Drama, Romance",330252182.0,8.8,82.0
INTP,Little Forrest,Forrest Gump,1994.0,"Drama, Romance",330252182.0,8.8,82.0
ESFP,Augustus Gloop,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ESFP,Oompa Loompas,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ESFJ,Ms. Beauregard,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ESFJ,Mrs. Gloop,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ESTJ,Veruca Salt,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ESTJ,Mr. Salt,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ENFP,Willy Wonka,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ENTJ,Violet Beauregard,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISFP,Mr. Bucket,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISFJ,Charlie Bucket,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISFJ,Mrs. Bucket,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISFJ,Grandma Josephine,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISTP,Mike Teavee,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISTP,Grandpa George,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISTJ,Wilbur Wonka,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ISTJ,Mr. Teavee,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
INFP,Grandpa Joe,Charlie And The Chocolate Factory,2005.0,"Action, Adventure, Comedy",,6.4,
ESFP,Dug,Up,2009.0,"Animation, Action, Adventure",,7.7,
ESFP,Gamma,Up,2009.0,"Animation, Action, Adventure",,7.7,
ESFP,Omega,Up,2009.0,"Animation, Action, Adventure",,7.7,
ESFJ,Russell,Up,2009.0,"Animation, Action, Adventure",,7.7,
ESTP,Beta,Up,2009.0,"Animation, Action, Adventure",,7.7,
ENFP,Ellie,Up,2009.0,"Animation, Action, Adventure",,7.7,
ENTJ,Charles Muntz,Up,2009.0,"Animation, Action, Adventure",,7.7,
ISTJ,Carl Fredricksen,Up,2009.0,"Animation, Action, Adventure",,7.7,
INTJ,Alpha,Up,2009.0,"Animation, Action, Adventure",,7.7,
ESFP,Jonathan,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ESFP,Murray,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ESFP,Winnie,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ESFJ,Wanda,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ESTJ,Ericka Van Helsing,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ESTJ,Eunice,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ENFP,Mavis,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ENFP,Dennis,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ENTP,Griffin,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ISFP,Blobby,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ISFJ,Frankenstein,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ISTJ,Count Dracula,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ISTJ,Vlad,Hotel Transylvania,2012.0,"Animation, Comedy, Game-Show",,7.1,
ESFP,Angela Hayes,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
ESTJ,Carolyn Burnham,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
ENTJ,Buddy Kane,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
ISFP,Jane Burnham,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
ISTJ,Colonel Frank Fitts,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
INFP,Lester Burnham,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
INTP,Ricky Fitts,American Beauty,1999.0,Drama,130096601.0,8.3,84.0
ESFP,Other Father,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ESFP,Miss Miriam Forcible,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ESFP,Other Spink,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ESFP,Other Forcible,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ESTP,Mr. Sergei Alexander Bobinsky,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ESTP,Other Bobinsky,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ENFJ,Other Mother,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ENFJ,Miss April Spink,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ENFJ,Tall Ghost Girl,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ENTP,Wyborne 'Wybie' Lovat,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ISFJ,Wybie'S Grandmother,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ISFJ,Lovat Ghost Girl,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ISTJ,Mel Jones,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
INFP,Coraline Jones,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
INFP,Other Wyborne (Wybie),Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
INFP,Ghost Boy,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
INTP,The Cat,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
INTP,Charlie Jones,Coraline,2009.0,"Action, Adventure, Fantasy",,7.6,
ESFP,"Mary ""Boo"" Gibbs","Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ESFJ,Celia Fearmonger,"Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ESFJ,Abominable Snowman,"Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ESTJ,Henry J. Waternoose Iii,"Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ESTJ,Roz,"Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ENTP,"Michael ""Mike"" Wazowski","Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ISFP,"James P. ""Sulley"" Sullivan","Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ISFJ,Fungus,"Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
INTJ,Randall Boggs,"Monsters, Inc.",2001.0,"Action, Adventure, Family",,7.5,
ESFP,"Donny ""The Bear Jew"" Donowitz",Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ESFJ,Fredrick Zoller,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ESFJ,Joseph Goebbels,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ESTP,Aldo Raine,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ESTJ,Adolf Hitler,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ENFJ,Bridget Von Hammersmark,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ENTP,Hans Landa,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ENTJ,Dieter Hellstrom,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ISFP,Smithson Utivich,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ISFJ,Perrier Lapadite,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ISFJ,Marcel,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ISTP,Hugo Stiglitz,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ISTJ,Werner,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
INTJ,Shosanna Dreyfus,Inglourious Basterds,2009.0,"Adventure, Drama, War",120540719.0,8.3,69.0
ESFP,Yolanda (Honey Bunny),Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ESTP,Pumpkin,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ESTP,Jody,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ESTP,Zed,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ESTJ,Captain Koons,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ENFJ,Jules Winnfield,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ENTP,Mia Wallace,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ENTP,Lance,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ENTJ,Winston Wolf,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ISFP,Marvin,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ISFP,Maynard,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ISTP,Vincent Vega,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ISTP,Butch Coolidge,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ISTP,Esmarelda Villalobos,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ISTJ,Brett,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
INFP,Fabienne,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
INTJ,Marcellus Wallace,Pulp Fiction,1994.0,"Crime, Drama",107928762.0,8.9,94.0
ESFP,Emile,Ratatouille,2007.0,"Adventure, Family",,7.5,
ESTJ,Colette Tatou,Ratatouille,2007.0,"Adventure, Family",,7.5,
ESTJ,Skinner,Ratatouille,2007.0,"Adventure, Family",,7.5,
ESTJ,Django,Ratatouille,2007.0,"Adventure, Family",,7.5,
ISFP,Remy,Ratatouille,2007.0,"Adventure, Family",,7.5,
ISFP,Lalo,Ratatouille,2007.0,"Adventure, Family",,7.5,
ISTP,Horst,Ratatouille,2007.0,"Adventure, Family",,7.5,
ISTJ,Anton Ego,Ratatouille,2007.0,"Adventure, Family",,7.5,
INFP,Alfredo Linguini,Ratatouille,2007.0,"Adventure, Family",,7.5,
ESFP,Megan Stewart,Megan Is Missing,2011.0,"Drama, Horror, Thriller",,4.7,
ESFP,Lexie,Megan Is Missing,2011.0,"Drama, Horror, Thriller",,4.7,
ESTP,Ben,Megan Is Missing,2011.0,"Drama, Horror, Thriller",,4.7,
ESTJ,Joyce Stewart,Megan Is Missing,2011.0,"Drama, Horror, Thriller",,4.7,
ISFJ,Amy Herman,Megan Is Missing,2011.0,"Drama, Horror, Thriller",,4.7,
ISTP,Josh,Megan Is Missing,2011.0,"Drama, Horror, Thriller",,4.7,
ESFP,Chaca,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ESFJ,Kronk,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ENFP,Tipo,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ENFJ,Chicha,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ENFJ,Malina,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ENTP,Kuzco,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ENTJ,Yzma,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ISFJ,Pacha,The Emperor'S New Groove,2000.0,"Animation, Adventure",,7.6,
ESFP,Scarlett Witch,Dr. Strange,1978.0,"Action, Fantasy",,5.3,
ENFP,Steven Strange,Dr. Strange,1978.0,"Action, Fantasy",,5.3,
ISFJ,The Old Guy,Dr. Strange,1978.0,"Action, Fantasy",,5.3,
INTJ,Dormammu,Dr. Strange,1978.0,"Action, Fantasy",,5.3,
ESFP,Conrad Walden,The Cat In The Hat,2003.0,"Action, Adventure, Comedy",,4.5,
ESFJ,Joan Walden,The Cat In The Hat,2003.0,"Action, Adventure, Comedy",,4.5,
ESTP,Larry Quinn,The Cat In The Hat,2003.0,"Action, Adventure, Comedy",,4.5,
ESTJ,Sally Walden,The Cat In The Hat,2003.0,"Action, Adventure, Comedy",,4.5,
ESTJ,Mr. Humberfloob,The Cat In The Hat,2003.0,"Action, Adventure, Comedy",,4.5,
ENTP,The Cat In The Hat,The Cat In The Hat,2003.0,"Action, Adventure, Comedy",,4.5,
ISTJ,Mrs. Kwan,The Cat In The Hat,2003.0,"Action, Adventure, Comedy",,4.5,
ESFP,Lamont,American History X,1998.0,Drama,6719864.0,8.5,62.0
ESFJ,Doris Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
ENFP,Davina Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
ENTJ,Derek Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
ISFP,Danny Vinyard,American History X,1998.0,Drama,6719864.0,8.5,62.0
ISFP,Stacey,American History X,1998.0,Drama,6719864.0,8.5,62.0
INFJ,Dr. Rob Sweeney,American History X,1998.0,Drama,6719864.0,8.5,62.0
INTJ,Cameron Alexander,American History X,1998.0,Drama,6719864.0,8.5,62.0
ESFP,Bailey Butler,Unpregnant,2020.0,"Comedy, Drama",,6.1,61.0
ESFP,Checco,Quo Vado?,2016.0,Comedy,,6.6,
ENFP,Valeria,Quo Vado?,2016.0,Comedy,,6.6,
ESFP,Molt,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ESFP,Tuck,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ESFP,Roll,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ESTP,Francis,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ENTP,Flik,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ENTJ,Hopper,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ISFP,Heimlich,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ISFP,Dim,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ISFJ,Gypsy,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ISFJ,Dr. Flora,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ISTJ,Princess Atta,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ISTJ,Manny,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
INFP,Dot,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
INFJ,The Queen,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
INTP,Slim,A Bug'S Life,1998.0,"Adventure, Comedy, Family",,6.6,
ESFP,Sam,Miss Stevens,2016.0,"Comedy, Drama",3858.0,6.6,65.0
ESFJ,Margot,Miss Stevens,2016.0,"Comedy, Drama",3858.0,6.6,65.0
ISFJ,Miss Stevens,Miss Stevens,2016.0,"Comedy, Drama",3858.0,6.6,65.0
INFP,Billy,Miss Stevens,2016.0,"Comedy, Drama",3858.0,6.6,65.0
ESFP,Erica,Flower,2017.0,"Comedy, Drama",327628.0,6.0,45.0
ESFJ,Laurie,Flower,2017.0,"Comedy, Drama",327628.0,6.0,45.0
ISFP,Luke,Flower,2017.0,"Comedy, Drama",327628.0,6.0,45.0
ISFJ,Bob,Flower,2017.0,"Comedy, Drama",327628.0,6.0,45.0
ISTP,Will,Flower,2017.0,"Comedy, Drama",327628.0,6.0,45.0
ESFP,Libby / Boltie,Super,2010.0,Drama,,8.0,
ESTJ,Frank Darbo / Crimson Bolt,Super,2010.0,Drama,,8.0,
ESFP,Rachel,Heart,2006.0,"Drama, Romance",,6.6,
ISFP,Farel,Heart,2006.0,"Drama, Romance",,6.6,
ISFJ,Didit,Heart,2006.0,"Drama, Romance",,6.6,
INFP,Luna,Heart,2006.0,"Drama, Romance",,6.6,
ESFP,Ami Ozawa,The Forest Of Love,2019.0,"Crime, Drama, Horror",,6.4,
ESTJ,Shigeru Ozawa,The Forest Of Love,2019.0,"Crime, Drama, Horror",,6.4,
ENFJ,Eiko,The Forest Of Love,2019.0,"Crime, Drama, Horror",,6.4,
ENTP,Joe Murata,The Forest Of Love,2019.0,"Crime, Drama, Horror",,6.4,
ISFP,Taeko Mizushima,The Forest Of Love,2019.0,"Crime, Drama, Horror",,6.4,
ISFP,Shin,The Forest Of Love,2019.0,"Crime, Drama, Horror",,6.4,
ISFJ,Mitsuko Ozawa,The Forest Of Love,2019.0,"Crime, Drama, Horror",,6.4,
ESFP,Marishka,Van Helsing,2004.0,"Action, Adventure, Fantasy",,6.7,
ESTP,Mr. Hyde,Van Helsing,2004.0,"Action, Adventure, Fantasy",,6.7,
ENFJ,Aleera,Van Helsing,2004.0,"Action, Adventure, Fantasy",,6.7,
ISTP,Gabriel Van Helsing,Van Helsing,2004.0,"Action, Adventure, Fantasy",,6.7,
ISTJ,Verona,Van Helsing,2004.0,"Action, Adventure, Fantasy",,6.7,
INFP,Frankenstein'S Monster,Van Helsing,2004.0,"Action, Adventure, Fantasy",,6.7,
INTP,Friar Carl,Van Helsing,2004.0,"Action, Adventure, Fantasy",,6.7,
ESFP,Raggedy Andy,Raggedy Ann & Andy: A Musical Adventure,1977.0,"Animation, Comedy, Family",,6.7,
ENTP,Greedy,Raggedy Ann & Andy: A Musical Adventure,1977.0,"Animation, Comedy, Family",,6.7,
ISFJ,Raggedy Ann,Raggedy Ann & Andy: A Musical Adventure,1977.0,"Animation, Comedy, Family",,6.7,
INFP,The Camel With The Wrinkled Knees,Raggedy Ann & Andy: A Musical Adventure,1977.0,"Animation, Comedy, Family",,6.7,
ESFP,Kannonzaki,River'S Edge,2018.0,"Crime, Drama",,6.2,
ESFJ,Rumi Koyama,River'S Edge,2018.0,"Crime, Drama",,6.2,
ISFP,Kozue Yoshikawa,River'S Edge,2018.0,"Crime, Drama",,6.2,
INFP,Kanna Tajima,River'S Edge,2018.0,"Crime, Drama",,6.2,
INTP,Haruna Wakakusa,River'S Edge,2018.0,"Crime, Drama",,6.2,
INTJ,Ichiro Yamada,River'S Edge,2018.0,"Crime, Drama",,6.2,
ESFP,Blue Boy,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ESTP,Brandon,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ESTJ,Kelly,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ESTJ,Ms. Penelope,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ENFP,Angelita,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ISFP,Lucy,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ISTJ,Celeste,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ISTJ,Principle,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
INFP,Cry Baby,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
INFJ,Lilith,K-12,2019.0,"Fantasy, Horror, Musical",303230.0,6.4,
ESFP,Lucia,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ENFP,Barb,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ENFP,Dicky,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ENTP,June,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ENTJ,April Dibrina,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ENTJ,Wellington 'Welly' Wong,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ISFP,Zuzu,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ISFJ,Kari,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ISTP,Sarah,Feel The Beat,2020.0,"Comedy, Drama, Family",,6.3,
ESFP,Erica,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
ESTP,Buff,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
ESTJ,Sooze,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
ENFJ,Pony,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
ENTP,Tim,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
ISFJ,Pakeesa,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
ISTJ,Nazeer,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
INFP,Jeff,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
INFP,Bee-Bee,Suburbia,1996.0,"Comedy, Drama",726207.0,6.8,62.0
ESFP,"Yasutora ""Chad"" Sado",Bleach,2018.0,"Action, Adventure, Fantasy",,6.4,
ISTP,Ichigo Kurosaki,Bleach,2018.0,"Action, Adventure, Fantasy",,6.4,
ISTJ,Rukia Kuchiki,Bleach,2018.0,"Action, Adventure, Fantasy",,6.4,
ISTJ,Byakuya Kuchiki,Bleach,2018.0,"Action, Adventure, Fantasy",,6.4,
INTJ,Ishida Kun,Bleach,2018.0,"Action, Adventure, Fantasy",,6.4,
ESFP,Hiro Sakurai,Koizora,2007.0,"Drama, Romance",,6.9,
ESFJ,Yu Fukuhara,Koizora,2007.0,"Drama, Romance",,6.9,
INFP,Mika Tahara,Koizora,2007.0,"Drama, Romance",,6.9,
ESFP,Azusa Odagiri,Hot Gimmick: Girl Meets Boy,2019.0,Drama,,4.5,
ISFJ,Hatsumi Narita,Hot Gimmick: Girl Meets Boy,2019.0,Drama,,4.5,
INTJ,Ryoki Tachibana,Hot Gimmick: Girl Meets Boy,2019.0,Drama,,4.5,
ESFP,Jean,Madre,2019.0,"Drama, Thriller",,6.6,
ESTP,Benoit,Madre,2019.0,"Drama, Thriller",,6.6,
ENFJ,Joseba,Madre,2019.0,"Drama, Thriller",,6.6,
ISFP,Elena,Madre,2019.0,"Drama, Thriller",,6.6,
ESFP,Pina Fantozzi (Milena Vukotic),Fantozzi,1975.0,Comedy,,7.9,
ESTP,Miss Silvani,Fantozzi,1975.0,Comedy,,7.9,
ESTP,Cecco,Fantozzi,1975.0,Comedy,,7.9,
ESTP,Bongo,Fantozzi,1975.0,Comedy,,7.9,
ESTP,Luciano Calboni,Fantozzi,1975.0,Comedy,,7.9,
ESTP,Loris Batacchi,Fantozzi,1975.0,Comedy,,7.9,
ESTJ,Professor Guidobaldo Maria Riccardelli,Fantozzi,1975.0,Comedy,,7.9,
ESTJ,Diego Catellani,Fantozzi,1975.0,Comedy,,7.9,
ISFP,Mariangela Fantozzi,Fantozzi,1975.0,Comedy,,7.9,
ISFJ,Pina Fantozzi (Liù Bosisio),Fantozzi,1975.0,Comedy,,7.9,
ISFJ,Alfonsina Serbelloni Mazzanti Vien Dal Mare,Fantozzi,1975.0,Comedy,,7.9,
